_ID,ROUTE,PROVIDER,PICKUPADDRESS_ZIPCODE
63676b4a47727e592feb5bcb,"[{'latitude': '40.45591', 'longitude': '-79.94219', 'updatedAt': 1667735101102}, {'latitude': '40.47023', 'longitude': '-79.92902', 'updatedAt': 1667738498659}, {'latitude': '40.47023', 'longitude': '-79.92902', 'updatedAt': 1667738661292}, {'latitude': '40.47023', 'longitude': '-79.92902', 'updatedAt': 1667738796658}, {'latitude': '40.47023', 'longitude': '-79.92902', 'updatedAt': 1667738918577}, {'latitude': '40.47021243896656', 'longitude': '-79.92899329804723', 'updatedAt': 1667738992677}, {'latitude': '40.47021243896656', 'longitude': '-79.92899329804723', 'updatedAt': 1667738992613}, {'latitude': '40.45648', 'longitude': '-79.93484', 'updatedAt': 1667740294823}, {'latitude': '40.45648', 'longitude': '-79.93484', 'updatedAt': 1667740295658}, {'latitude': '40.45369', 'longitude': '-79.93484', 'updatedAt': 1667740415985}, {'latitude': '40.45007', 'longitude': '-79.93646', 'updatedAt': 1667740575601}, {'latitude': '40.45016', 'longitude': '-79.93639', 'updatedAt': 1667740716001}, {'latitude': '40.44958', 'longitude': '-79.93034', 'updatedAt': 1667740836305}, {'latitude': '40.44393', 'longitude': '-79.92365', 'updatedAt': 1667740956196}, {'latitude': '40.43581756337514', 'longitude': '-79.91701817075021', 'updatedAt': 1667741087091}, {'latitude': '40.43581756337514', 'longitude': '-79.91701817075021', 'updatedAt': 1667741087155}, {'latitude': '40.43581756337514', 'longitude': '-79.91701817075021', 'updatedAt': 1667741277057}, {'latitude': '40.43581756337514', 'longitude': '-79.91701817075021', 'updatedAt': 1667741388300}]",Point Pickup,15232
63675293a6635fd441ac3607,"[{'latitude': 51.292092583141574, 'longitude': -114.04249706424719, 'updatedAt': 1667782200857}, {'latitude': 51.299950997178385, 'longitude': -114.01424216966335, 'updatedAt': 1667782741283}, {'latitude': 51.300594946405184, 'longitude': -114.00853859535444, 'updatedAt': 1667783250806}, {'latitude': 51.27343135040152, 'longitude': -114.0425660027369, 'updatedAt': 1667784429437}, {'latitude': 51.27343135040152, 'longitude': -114.0425660027369, 'updatedAt': 1667784429437}]",DoorDash,T4B 3P2
636841239057a18771758461,"[{'latitude': 37.32230116971614, 'longitude': -121.99526308362618, 'updatedAt': 1667782312221}, {'latitude': 37.32299933783955, 'longitude': -121.99421429186077, 'updatedAt': 1667782342127}, {'latitude': 37.323453217389925, 'longitude': -121.99509361560534, 'updatedAt': 1667782373063}, {'latitude': 37.32360024091283, 'longitude': -121.99509637525678, 'updatedAt': 1667782403916}, {'latitude': 37.32359608150039, 'longitude': -121.99516817021733, 'updatedAt': 1667782434448}, {'latitude': 37.32359913976347, 'longitude': -121.995162268075, 'updatedAt': 1667782464782}, {'latitude': 37.32359438899767, 'longitude': -121.99518904908719, 'updatedAt': 1667782495395}, {'latitude': 37.32362340714895, 'longitude': -121.99513230012944, 'updatedAt': 1667782525779}, {'latitude': 37.32354200109874, 'longitude': -121.99504129650289, 'updatedAt': 1667782556438}, {'latitude': 37.323556120716766, 'longitude': -121.99503997420234, 'updatedAt': 1667782587306}, {'latitude': 37.32355273558775, 'longitude': -121.9950417017208, 'updatedAt': 1667782618062}, {'latitude': 37.32356155024331, 'longitude': -121.99503747908027, 'updatedAt': 1667782648443}, {'latitude': 37.32333805508449, 'longitude': -121.99447403970586, 'updatedAt': 1667782679164}, {'latitude': 37.32375140229983, 'longitude': -121.99338408687771, 'updatedAt': 1667782710027}, {'latitude': 37.32352440205389, 'longitude': -121.9925579520305, 'updatedAt': 1667782740421}, {'latitude': 37.32352440205389, 'longitude': -121.9925579520305, 'updatedAt': 1667782743180}, {'latitude': 37.32190729102631, 'longitude': -121.99445747688767, 'updatedAt': 1667783054021}, {'latitude': 37.325500976998846, 'longitude': -121.88455651036037, 'updatedAt': 1667783796837}, {'latitude': 37.32787234753133, 'longitude': -121.87514671390157, 'updatedAt': 1667783827229}, {'latitude': 37.3309089064211, 'longitude': -121.86608676013763, 'updatedAt': 1667783857928}, {'latitude': 37.33607233587737, 'longitude': -121.85762443382511, 'updatedAt': 1667783888497}, {'latitude': 37.34124763757739, 'longitude': -121.84924859288995, 'updatedAt': 1667783919680}, {'latitude': 37.34802384685213, 'longitude': -121.84032299152622, 'updatedAt': 1667783950574}, {'latitude': 37.35533001860751, 'longitude': -121.83833656891392, 'updatedAt': 1667783981326}, {'latitude': 37.362602095020364, 'longitude': -121.84257808560368, 'updatedAt': 1667784011712}, {'latitude': 37.36819260545581, 'longitude': -121.84463141014035, 'updatedAt': 1667784042121}, {'latitude': 37.37015675789097, 'longitude': -121.84275098709522, 'updatedAt': 1667784072534}, {'latitude': 37.372455528503075, 'longitude': -121.83943490755327, 'updatedAt': 1667784103164}, {'latitude': 37.37335119970339, 'longitude': -121.83813518969362, 'updatedAt': 1667784133526}, {'latitude': 37.373943427085244, 'longitude': -121.83728359019065, 'updatedAt': 1667784163900}, {'latitude': 37.374786910167074, 'longitude': -121.83606681643421, 'updatedAt': 1667784194319}, {'latitude': 37.375881701050425, 'longitude': -121.83612853928527, 'updatedAt': 1667784225014}, {'latitude': 37.37891658309958, 'longitude': -121.83847320351992, 'updatedAt': 1667784255403}, {'latitude': 37.38188911083665, 'longitude': -121.84073673543405, 'updatedAt': 1667784285833}, {'latitude': 37.38362103320758, 'longitude': -121.84204915408657, 'updatedAt': 1667784309877}, {'latitude': 37.38362103320758, 'longitude': -121.84204915408657, 'updatedAt': 1667784309877}]",DoorDash,95129
63675e63575538493917f7a0,"[{'latitude': 49.206746, 'longitude': -123.1320529, 'updatedAt': 1667783910606}]",Onfleet,V6M 3W4
6366d76efaee1eb3c7933a41,"[{'latitude': 49.1757394, 'longitude': -123.9677155, 'updatedAt': 1667783610465}]",Onfleet,V9T 1W1
